signal,program_code,exhibition_date,program_start_time,average_audience
RJ,JGLO,2020-05-25,2020-05-25T03:40:00.000Z,608673.6909090909
RJ,SAME,2020-04-09,2020-04-09T04:00:00.000Z,616070.3555555556
PE1,VALE,2020-04-17,2020-04-17T19:36:00.000Z,754559.3111111111
DF,CIMA,2020-05-10,2020-05-10T03:36:00.000Z,57119.03370786517
PE1,N19H,2020-05-05,2020-05-05T22:40:00.000Z,1019155.2448979592
PE1,JHOJ,2020-04-21,2020-04-21T16:25:00.000Z,438146.44086021505
SP1,FANT,2020-05-31,2020-05-31T22:59:00.000Z,1716128.2342857143
SP1,PTV1,2020-06-27,2020-06-27T15:00:00.000Z,1413247.078125
SP1,TARA,2020-04-17,2020-04-17T17:58:00.000Z,1411681.9387755103
BH,SERA,2020-05-16,2020-05-16T08:55:00.000Z,42936.555555555555
RJ,N20H,2020-05-29,2020-05-30T00:38:00.000Z,2254818.522727273
RJ,MBOA,2020-05-02,2020-05-02T18:17:00.000Z,823402.9574468085
PE1,HORA,2020-05-01,2020-05-01T07:00:00.000Z,61880.16806722689
DF,FANT,2020-06-21,2020-06-21T23:00:00.000Z,198364.4457142857
RJ,BPRA,2020-06-24,2020-06-24T08:59:00.000Z,535244.2533333333
BH,N19H,2020-04-20,2020-04-20T22:41:00.000Z,943586.8125
PE1,COR1,2020-06-07,2020-06-07T05:19:00.000Z,55672.46534653466
RJ,SUCI,2020-06-06,2020-06-06T03:51:00.000Z,516893.5789473684
RJ,COR1,2020-06-06,2020-06-06T05:27:00.000Z,382312.41095890413
PE1,FATI,2020-06-01,2020-06-01T13:01:00.000Z,164323.3781512605
DF,JGLO,2020-05-01,2020-05-01T03:10:00.000Z,59996.69841269841
DF,HORA,2020-05-29,2020-05-29T07:00:00.000Z,24785.916666666668
BH,MALH,2020-04-17,2020-04-17T21:09:00.000Z,733392.0
BH,NBRA,2020-05-01,2020-05-01T11:30:00.000Z,150998.68354430379
PE1,VALE,2020-05-25,2020-05-25T19:52:00.000Z,674452.1388888889
SP1,JNAC,2020-06-24,2020-06-24T23:30:00.000Z,2816300.342857143
SP1,JGLO,2020-05-13,2020-05-13T03:34:00.000Z,692046.775862069
RJ,BPRA,2020-05-13,2020-05-13T09:00:00.000Z,521808.10067114094
BH,FATI,2020-06-15,2020-06-15T13:00:00.000Z,114835.09166666666
BH,N19H,2020-04-13,2020-04-13T22:43:00.000Z,930679.6304347826
DF,PT2S,2020-06-27,2020-06-27T22:09:00.000Z,210728.06666666668
SP1,MALH,2020-05-06,2020-05-06T21:02:00.000Z,1642683.0333333334
DF,GRUD,2020-05-17,2020-05-17T11:34:00.000Z,130400.12727272727
BH,SAME,2020-05-07,2020-05-07T04:56:00.000Z,121850.11111111111
BH,JHOJ,2020-05-26,2020-05-26T16:25:00.000Z,270640.62637362635
PE1,NBRA,2020-05-26,2020-05-26T11:30:00.000Z,169751.0888888889
RJ,N19S,2020-04-18,2020-04-18T22:43:00.000Z,1869526.1739130435
RJ,COR2,2020-05-01,2020-05-01T07:12:00.000Z,226148.36893203884
RJ,N18H,2020-06-10,2020-06-10T21:33:00.000Z,1521096.1714285715
SP1,VALE,2020-06-25,2020-06-25T19:36:00.000Z,1930620.202247191
PE1,HORA,2020-05-27,2020-05-27T07:00:00.000Z,45268.815126050424
DF,JNAC,2020-06-17,2020-06-17T23:30:00.000Z,360089.3538461538
RJ,BPRA,2020-06-30,2020-06-30T09:00:00.000Z,545489.1610738256
SP1,N18H,2020-05-01,2020-05-01T21:38:00.000Z,1690652.7222222222
RJ,N18S,2020-04-25,2020-04-25T21:37:00.000Z,1431308.125
PE1,SAME,2020-05-04,2020-05-04T04:49:00.000Z,81305.19565217392
